Student,Model,RMSE
tamchen,model01,0.5281258304295421
YoniSlutzky98,model2,0.5292668870887774
aladdeans-sage,GBR_1,0.5443939260215732
aviv_elad,model01,0.5453598493976737
yuvalnokrian,model02,0.553480014
yuvalnokrian,model01,0.554252098
aviv_elad,model03,0.555035428554698
yuvalnokrian,model03,0.5555837193742614
gilaltman8,model01,0.55588908
aviv_elad,model02,0.5564941095433179
YoniSlutzky98,model1,0.5575352480609598
Lihikreiner,model01,0.5593413640308381
gilaltman8,model04,0.559493394406919
aviv_elad,model04,0.5769405199711702
gali1998,model1,0.5786018209485546
Sophiep1103,model03,0.579445767
Sophiep1103,model04,0.5811916053554925
gilaltman8,model03,0.581227338
gilaltman8,modelg,0.5816439352446787
amittai_and_omri,model01,0.5886905050993132
gsimchoni,model01,0.6316467
gali1998,model02,0.6320969070712988
Sophiep1103,model02,0.718606943
Sophiep1103,model01,0.747875901
adi_naama,model01,0.7906448878755102
gali1998,model03,2.419295425674204
